epoch,loss,lr
0,0.05906462456831998,0.001
1,0.0060771197960626504,0.001
2,0.005013513960681221,0.001
3,0.005485030691075653,0.001
4,0.004606225661535394,0.001
5,0.004821665510410856,0.001
6,0.004841689578566905,0.001
7,0.00453124487483392,0.001
8,0.004119321485073345,0.001
9,0.0045738915797363415,0.001
10,0.0041511845222996155,0.001
11,0.004051688227503994,0.001
12,0.0044323457661512395,0.001
13,0.004171181110220531,0.001
14,0.003997663032101819,0.001
15,0.0035194817855441086,0.001
16,0.004266805279430916,0.001
17,0.0037968399579199853,0.001
18,0.0029273219371621865,0.001
19,0.003341676326055011,0.001
20,0.003379949438890974,0.001
21,0.003965485471383185,0.001
22,0.003211239429007289,0.001
23,0.003118886877837061,0.001
24,0.003285751987842591,0.001
25,0.0034468174322767925,0.001
26,0.0028931938383093907,0.001
27,0.002751393443850399,0.001
28,0.0029751019165983332,0.001
29,0.0027211712396747194,0.001
30,0.002819837263407487,0.001
31,0.0030955920735986683,0.001
32,0.0027447279382540606,0.001
33,0.003242652879200739,0.001
34,0.00294519033794523,0.001
35,0.0027955631618209196,0.001
36,0.002977915206544711,0.001
37,0.0025805332577431292,0.001
38,0.0024289029346427605,0.001
39,0.0027490584875530066,0.001
40,0.002379782120456207,0.001
41,0.0024659346838875086,0.001
42,0.002583537784052114,0.001
43,0.002534562932523294,0.001
44,0.002400880106545997,0.001
45,0.002409703309495369,0.001
46,0.002135562388232609,0.001
47,0.002333748351412519,0.001
48,0.002356700829303324,0.001
49,0.0025369754338633883,0.001
50,0.002099864008581462,0.001
51,0.0022371893817440722,0.001
52,0.0022643216332119075,0.001
53,0.0022888654273140164,0.001
54,0.0020315003136673537,0.001
55,0.0021812226405625353,0.001
56,0.0018516979139463008,0.001
57,0.0019055450753385017,0.001
58,0.0020304540804243695,0.001
59,0.0019841771437755424,0.001
60,0.0019056149431891454,0.001
61,0.0020317102367297833,0.001
62,0.0020155948991008813,0.001
63,0.0019861579840017084,0.001
64,0.0017712305063608792,0.001
65,0.0018158657913592228,0.001
66,0.0020108311388483007,0.001
67,0.0018526624560897208,0.001
68,0.0018907761496090593,0.001
69,0.0017606033034038065,0.001
70,0.0016799206567153907,0.001
71,0.001827128733530056,0.001
72,0.001816263783471239,0.001
73,0.001824688849518253,0.001
74,0.0015921024792207303,0.001
75,0.0018864777036328398,0.001
76,0.0015654308311928854,0.001
77,0.0015192354323990793,0.001
78,0.0015171928135351664,0.001
79,0.0015632561163102993,0.001
80,0.001591585776714207,0.001
81,0.0014637507965091696,0.001
82,0.0015061894032905167,0.001
83,0.0015659221877127837,0.001
84,0.0015956800142792869,0.001
85,0.001451292701022006,0.001
86,0.001984178653384912,0.001
87,0.0016119566717681059,0.001
88,0.0017767569177686074,0.001
89,0.001362579104681818,0.001
90,0.0015701587624437424,0.001
91,0.0016647683169291618,0.001
92,0.001521605813159811,0.001
93,0.0013818790549598946,0.001
94,0.0015361140777927532,0.001
95,0.0015303010512796387,0.001
96,0.001460254082739204,0.001
97,0.0014782358720457065,0.001
98,0.0013427164152735697,0.001
99,0.001402510395382402,0.001
